cluster_id,cluster_size,representative_id,method,centroid_choice_id,centroid_score,density_choice_id,density_mean_k
0,31,1450,density_mean_k,1450,0.9997504949569702,1450,0.0005549549823626876
1,5,1921,density_mean_k,1924,0.9999430775642395,1921,0.29079920053482056
2,5,1980,density_mean_k,1982,0.9999339580535889,1980,0.12173835933208466
3,16,2069,density_mean_k,2069,0.9997395873069763,2069,0.0007143497350625694
4,9,2535,density_mean_k,2535,0.9999388456344604,2535,0.0007967948913574219
5,7,2606,density_mean_k,2605,0.9998887181282043,2606,0.015154886059463024
6,6,2621,density_mean_k,2619,0.9998642802238464,2621,0.009087038226425648
7,6,2627,density_mean_k,2626,0.9999010562896729,2627,0.009237205609679222
8,28,270754,density_mean_k,270678,0.9998825192451477,270754,0.00013340711302589625
9,29,270806,density_mean_k,270667,0.9999076724052429,270806,0.00018134713172912598
10,28,270674,density_mean_k,270739,0.9998181462287903,270674,0.00020048022270202637
11,21,270761,density_mean_k,270795,0.9997326731681824,270761,0.0004076838376931846
12,7,270684,density_mean_k,270684,0.9999639987945557,270684,0.0008069634204730392
13,8,270794,density_mean_k,270794,0.9998582601547241,270794,0.0007592678302899003
14,33,270957,density_mean_k,270976,0.9997271299362183,270957,0.00029674769029952586
15,10,270975,density_mean_k,270975,0.999834418296814,270975,0.0006790935876779258
16,7,271416,density_mean_k,271416,0.9996820688247681,271416,0.0010349691146984696
17,37,271959,density_mean_k,271958,0.9996389150619507,271959,0.0006388485198840499
18,7,3426,density_mean_k,3425,0.9997525215148926,3426,0.018390899524092674
19,5,3477,density_mean_k,3479,0.9998555183410645,3477,0.022669052705168724
20,13,3695,density_mean_k,3701,0.9997398853302002,3695,0.0006709396839141846
21,7,3709,density_mean_k,3710,0.9997758865356445,3709,0.0010289311176165938
22,7,3807,density_mean_k,3807,0.9998664259910583,3807,0.032301872968673706
23,6,3951,density_mean_k,3952,0.9999229311943054,3951,0.005870026536285877
24,6,3961,density_mean_k,3959,0.999882161617279,3961,0.005926704499870539
25,5,4261,density_mean_k,4260,0.9998699426651001,4261,0.12431731075048447
26,11,4283,density_mean_k,4283,0.999788761138916,4283,0.0005919694667682052
27,30,4359,density_mean_k,4381,0.9999167919158936,4359,0.00020262598991394043
28,23,4455,density_mean_k,4455,0.9999638795852661,4455,7.952451414894313e-05
29,9,4472,density_mean_k,4472,0.9999336004257202,4472,0.0005402147653512657
30,22,4481,density_mean_k,4487,0.9999061822891235,4481,0.00016047358803916723
31,5,4567,density_mean_k,4567,0.9997819066047668,4567,0.0010216652881354094
32,10,4702,density_mean_k,4702,0.999754011631012,4702,0.0009234964963980019
33,5,4724,density_mean_k,4718,0.9998740553855896,4724,0.002370435046032071
34,10,4731,density_mean_k,4726,0.9997631907463074,4731,0.0010198891395702958
35,16,4741,density_mean_k,4741,0.9998245239257812,4741,0.0006879031425341964
36,10,4763,density_mean_k,4763,0.9997429251670837,4763,0.0008966505411081016
37,14,4774,density_mean_k,4774,0.9997788071632385,4774,0.0007928788545541465
38,10,487,density_mean_k,487,0.999782919883728,487,0.0008152484660968184
39,15,4789,density_mean_k,4789,0.9998173713684082,4789,0.0007698714616708457
40,5,4805,density_mean_k,4805,0.9997371435165405,4805,0.0013610661262646317
41,10,4826,density_mean_k,4826,0.9997988939285278,4826,0.0008130371570587158
42,8,5100,density_mean_k,5099,0.9998921155929565,5100,0.0015036880504339933
43,9,5108,density_mean_k,5108,0.9998676180839539,5108,0.0015157759189605713
44,21,5131,density_mean_k,5123,0.9998093843460083,5131,0.0005039394018240273
45,27,5301,density_mean_k,5281,0.9998136758804321,5301,0.0003122985363006592
46,21,5375,density_mean_k,5375,0.9997215270996094,5375,0.0006641090149059892
47,9,5325,density_mean_k,5325,0.9997936487197876,5325,0.003932529594749212
48,5,5366,density_mean_k,5366,0.999789834022522,5366,0.0010116338962689042
49,5,5584,density_mean_k,5586,0.9998643398284912,5584,0.12447968870401382
50,5,5672,density_mean_k,5671,0.9997718334197998,5672,0.09023575484752655
51,20,5854,density_mean_k,5854,0.9996960163116455,5854,0.00075145362643525
52,274,596707,density_mean_k,596742,0.9999518990516663,596707,4.416704177856445e-05
53,482,597226,density_mean_k,597064,0.999813437461853,597226,0.00011969208571827039
54,8,6035,density_mean_k,6033,0.999962568283081,6035,0.007688432931900024
55,40,6197,density_mean_k,6223,0.9993168115615845,6197,0.00029124022694304585
56,14,6383,density_mean_k,6377,0.9998190402984619,6383,0.000623852014541626
57,8,6414,density_mean_k,6414,0.9998305439949036,6414,0.001081490539945662
58,8,6411,density_mean_k,6417,0.9998234510421753,6411,0.0009436905384063721
59,15,6590,density_mean_k,6590,0.9998072385787964,6590,0.00046894550905562937
60,10,785,density_mean_k,785,0.9997121095657349,785,0.0009104132768698037
